,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
Fall 04,CEVE 527 001, Satish Nagarajaiah,6,1.92,2.50,2.33,1.58,1.50,2.33,2.50,2.17,1.50,2.42,2.08,2.42,2.58,3.08,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CEVE 530 001, Moyeen Haque,5,1.20,1.20,1.80,1.60,1.40,1.60,1.40,1.20,1.20,1.60,1.60,1.40,1.40,3.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,
Fall 04,CEVE 534 001, Mark Wiesner,2,3.18,3.82,3.91,2.91,2.82,2.91,3.55,3.55,2.00,4.00,2.91,2.36,3.45,3.36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,
Fall 04,CEVE 554 001, Tayfun Tezduyar,1,1.38,1.75,1.75,1.50,1.63,1.63,1.63,1.50,1.25,1.75,1.75,1.63,1.63,3.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,CHEM 121 001, Kenton Whitmire,23,1.95,3.00,2.00,2.00,2.45,3.00,3.30,2.85,1.90,2.70,2.90,2.80,2.95,3.20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Fall 04,CHEM 121 0010, Margaret Hennessy,23,2.48,3.70,1.94,2.18,2.52,3.00,3.49,3.51,2.49,3.09,2.87,2.49,3.30,3.53,104,104,104,104,104,104,103,104,103,104,104,103,103,103,103,101,
Fall 04,CHEM 121 002, Kenton Whitmire,24,1.96,3.00,1.83,2.04,2.21,2.96,3.13,2.58,1.71,2.63,2.71,2.17,2.83,3.63,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,
Fall 04,CHEM 121 003, Kenton Whitmire,24,2.25,3.25,1.50,2.00,2.00,2.50,3.75,3.50,2.50,4.25,3.50,2.50,3.25,3.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,
Fall 04,CHEM 121 004, Kenton Whitmire,22,1.93,3.00,1.67,1.67,1.93,3.00,3.13,2.87,1.87,2.53,3.20,2.60,3.00,3.53,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,
Fall 04,CHEM 121 006, Margaret Hennessy,23,2.48,3.70,1.93,2.18,2.52,3.00,3.50,3.47,2.47,3.12,2.87,2.52,3.30,3.51,104,104,104,104,104,104,103,104,104,104,104,103,103,103,103,101,
Fall 04,CHEM 121 007, Margaret Hennessy,23,2.48,3.70,1.93,2.18,2.52,3.00,3.50,3.48,2.50,3.10,2.88,2.50,3.29,3.50,104,104,104,104,104,104,103,104,103,104,104,103,103,103,103,101,
Fall 04,CHEM 121 008, Margaret Hennessy,29,2.48,3.70,1.94,2.18,2.53,3.00,3.51,3.49,2.49,3.12,2.88,2.48,3.28,3.51,104,104,104,104,104,104,103,104,103,104,104,103,103,103,103,101,
Fall 04,CHEM 121 009, Margaret Hennessy,33,2.48,3.69,1.95,2.19,2.53,3.03,3.51,3.46,2.48,3.11,2.88,2.49,3.29,3.50,104,104,104,104,104,104,103,104,103,104,104,103,103,103,103,101,
Fall 04,CHEM 151 001, Philip Brooks,19,1.83,3.17,2.00,3.08,2.50,3.33,3.42,3.25,2.50,2.17,2.75,1.92,3.33,3.67,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CHEM 151 002, R. Wiesman,12,2.18,2.82,2.18,2.91,2.27,3.18,2.91,2.82,2.18,2.09,2.82,2.18,3.00,3.50,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,10,
Fall 04,CHEM 151 002, Philip Brooks,12,2.08,3.17,2.25,3.08,2.33,3.42,3.50,3.25,2.17,2.42,2.83,2.33,3.08,3.58,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,
Fall 04,CHEM 211 001, Seiichi Matsuda,218,3.69,4.65,3.38,3.41,3.42,3.71,4.16,4.55,3.35,3.99,4.24,2.80,4.18,4.21,99,99,98,99,99,99,99,99,99,99,95,99,99,99,96,93,
Fall 04,CHEM 235 001, Kristen Kulinowski,5,1.63,2.15,2.15,2.04,1.78,2.22,2.00,2.04,1.63,2.81,3.11,2.89,2.41,2.81,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,
Fall 04,CHEM 251 001, James Tour,41,1.38,1.58,1.43,2.43,2.55,1.83,1.40,1.45,1.15,1.46,1.68,1.45,1.38,4.23,40,40,40,40,40,40,40,40,40,39,40,40,40,40,40,37,
Fall 04,CHEM 311 001, Robert Curl,25,2.60,5.15,2.25,2.30,2.75,3.50,4.30,4.70,2.30,3.30,4.25,2.55,4.50,4.50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,
Fall 04,CHEM 311 001, Gustavo Scuseria,25,2.40,3.65,2.10,3.00,2.85,3.25,3.47,3.05,2.05,3.05,3.60,2.40,4.20,4.30,20,20,20,20,20,20,19,20,19,20,20,20,20,20,20,19,
Fall 04,CHEM 351 001, Margaret Hennessy,24,1.72,1.72,1.50,1.17,1.22,1.67,1.61,1.50,1.61,2.11,2.11,1.72,1.89,2.50,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,14,
Fall 04,CHEM 352 001, David Lapinsky,25,1.92,2.17,1.71,1.58,1.63,1.75,2.00,1.79,1.71,2.08,2.08,1.88,1.88,2.96,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,21,
Fall 04,CHEM 375 001, Margaret Hennessy,5,1.40,1.80,1.00,1.40,1.40,2.40,2.20,1.60,1.80,1.80,3.00,2.20,2.00,2.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,
Fall 04,CHEM 401 001, Victor Behar,11,1.50,2.25,1.75,1.63,1.88,2.38,2.25,1.88,1.25,2.00,1.88,1.63,2.13,4.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,CHEM 430 001, James Kinsey,15,2.44,3.22,1.89,2.11,1.89,2.00,2.33,3.00,1.25,2.89,3.11,1.89,2.78,4.33,9,9,9,9,9,9,9,9,8,9,9,9,9,9,8,9,
Fall 04,CHEM 430 001, Cecilia Clementi,15,1.70,2.00,1.40,1.80,1.70,1.78,1.56,1.78,1.33,1.89,1.89,1.22,1.78,4.44,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,9,
Fall 04,CHEM 442 001, David Lapinsky,6,1.17,1.17,1.00,1.00,1.17,1.50,1.17,1.17,1.17,1.33,1.67,1.83,1.33,2.83,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,
Fall 04,CHEM 445 001, Paul Engel,14,1.00,1.10,1.00,1.10,1.00,1.10,1.30,1.10,1.10,1.10,1.40,1.40,1.20,3.60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,CHEM 547 001, Jeffrey Hartgerink,19,1.67,1.75,1.67,1.58,1.75,1.50,1.58,1.67,1.42,1.92,2.17,1.83,1.91,2.92,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,11,
Fall 04,CHEM 600 002, W Billups,5,3.80,3.40,2.20,2.40,3.00,3.20,3.40,3.00,3.40,2.80,3.75,4.20,4.00,1.40,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,
Fall 04,CHEM 600 003, Andrew Barron,15,2.46,2.23,2.77,2.00,2.00,1.77,2.00,2.00,2.00,1.85,2.15,2.46,2.23,2.77,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,
Fall 04,CHIN 101 001, Meng Yeh,18,1.25,1.42,1.25,1.58,1.42,1.83,1.83,1.17,1.25,1.58,1.75,1.58,1.17,3.33,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CHIN 101 002, Meng Yeh,18,1.19,1.44,1.56,1.50,1.19,2.06,1.06,1.19,1.13,1.44,1.63,1.50,1.19,3.94,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
Fall 04,CHIN 201 002, Charles McArthur,15,2.07,2.27,1.80,1.13,1.47,1.80,1.87,2.00,2.00,2.60,2.33,2.27,2.00,2.67,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
Fall 04,CHIN 211 001, Charles McArthur,9,1.44,1.56,1.44,1.22,1.13,1.50,1.38,1.25,1.13,1.63,1.38,1.38,1.25,2.50,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,8,
Fall 04,CHIN 301 001, Chao-Mei Shen,8,1.38,1.71,1.00,1.14,1.25,1.38,1.63,1.38,1.00,1.43,1.75,1.63,1.50,4.00,8,7,8,7,8,8,8,8,8,7,8,8,8,7,8,7,
Fall 04,CHIN 311 001, Chao-Mei Shen,11,1.11,1.22,1.11,1.11,1.44,1.44,1.56,1.44,1.22,1.22,1.56,1.33,1.44,4.00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,CHIN 312 001, Lilly Chen,5,2.80,2.40,2.00,1.20,1.20,2.20,2.20,2.20,1.60,2.20,3.00,2.80,2.40,2.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Fall 04,CHIN 313 001, Chao-Mei Shen,8,1.38,1.38,1.25,1.38,1.38,1.63,1.38,1.29,1.13,1.50,1.38,1.13,1.25,4.38,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,
Fall 04,CHIN 321 001, Lilly Chen,3,1.86,2.00,2.71,1.43,1.29,1.71,1.86,1.86,1.29,2.43,1.86,2.29,1.86,1.86,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Fall 04,CHIN 332 001, Nanxiu Qian,0,1.33,1.33,1.00,1.00,1.33,2.00,1.00,1.33,1.00,1.67,1.67,2.33,1.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,
Fall 04,CHIN 335 001, Nanxiu Qian,2,1.44,1.67,1.22,1.22,1.33,1.44,1.56,1.56,1.11,1.56,1.44,1.67,1.33,2.78,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,CHIN 411 001, Lilly Chen,4,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,
Fall 04,CLAS 201 001, Donald Morrison,2,2.30,3.06,2.24,2.24,2.39,2.73,3.21,2.58,1.76,2.73,2.94,3.06,3.03,2.58,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,
Fall 04,CLAS 207 001, Harvey Yunis,12,1.72,2.11,1.67,2.11,2.39,2.17,2.00,2.11,1.59,2.56,2.44,2.35,2.17,3.39,18,18,18,18,18,18,18,18,17,18,18,17,18,18,18,18,
Fall 04,CLAS 320 001, Scott McGill,7,1.56,1.72,1.50,1.28,1.33,1.44,1.56,1.39,1.44,1.83,2.06,2.00,1.83,3.33,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
Fall 04,CLAS 491 001, Harvey Yunis,1,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,4.00,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,
Fall 04,COMP 110 001, Joe Warren,26,2.48,3.19,2.29,2.24,2.10,2.29,2.90,2.76,2.10,2.52,2.86,2.57,3.24,2.48,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,
Fall 04,COMP 200 001, Keith Cooper,20,2.87,2.87,2.53,2.00,1.73,2.53,2.60,2.20,1.87,3.67,3.13,2.67,2.86,2.27,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,
Fall 04,COMP 210 001, Dung Nguyen,47,1.84,2.16,1.84,1.88,1.91,2.06,2.34,1.97,1.66,1.88,2.16,1.91,1.97,3.94,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,
Fall 04,COMP 210 001, Stephen Wong,47,1.88,2.16,1.84,1.88,1.94,2.06,2.31,1.97,1.66,1.88,2.19,1.88,1.94,3.94,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,
Fall 04,COMP 212 001, Dung Nguyen,11,3.10,2.70,3.30,1.80,1.80,2.00,2.20,2.30,1.60,3.20,2.50,2.10,2.50,3.80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,COMP 212 001, Stephen Wong,11,3.10,2.70,3.30,1.80,1.80,2.00,2.20,2.30,1.70,3.20,2.50,2.10,2.50,3.80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,COMP 311 001, Walid Taha,33,3.19,4.14,3.29,3.38,3.38,3.62,3.90,3.95,2.67,4.10,3.86,3.38,4.29,3.95,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
Fall 04,COMP 320 001, John Greiner,32,3.95,3.86,5.38,2.29,2.52,3.14,3.38,3.48,3.62,4.62,3.62,2.90,3.90,3.95,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
Fall 04,COMP 360 001, Ronald Goldman,11,1.75,2.38,1.38,1.88,1.63,1.75,1.50,1.88,1.38,1.75,2.13,1.50,1.88,4.86,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,
Fall 04,COMP 412 001, Kenneth Kennedy,23,1.18,1.65,1.65,1.82,1.29,1.94,2.00,1.53,1.18,1.47,1.82,2.18,1.59,3.41,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,
Fall 04,COMP 425 001, Scott Rixner,9,1.60,2.40,1.53,2.87,2.67,2.73,3.00,2.47,1.73,1.93,3.13,3.07,2.60,3.47,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
Fall 04,COMP 440 001, Devika Subramanian,23,1.42,2.42,1.74,1.47,1.74,1.68,1.89,1.89,1.21,2.42,2.68,1.89,2.05,4.89,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,
Fall 04,COMP 482 001, John Greiner,40,4.52,4.09,2.65,2.83,2.52,3.26,3.91,4.00,4.22,3.73,4.39,2.35,4.17,4.13,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,
Fall 04,COMP 485 001, Osama Mawlawi,1,2.11,2.22,3.78,2.44,2.33,2.67,2.11,2.00,1.56,2.44,3.56,2.89,2.44,2.44,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,
Fall 04,COMP 520 001, Peter Druschel,4,2.00,2.00,2.20,1.20,1.20,1.40,1.40,1.80,1.20,2.00,1.80,1.40,1.80,4.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Fall 04,COMP 523 001, Kartik Mohanram,1,1.00,1.25,1.25,1.00,1.25,1.25,1.25,1.00,1.25,1.75,1.50,1.50,1.75,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,COMP 524 001, David Johnson,4,1.63,1.88,1.88,1.75,1.63,2.00,2.00,2.13,1.50,2.00,2.63,2.13,2.00,3.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,COMP 527 001, Dan Wallach,18,2.46,2.38,2.62,1.69,1.69,1.69,1.69,2.08,1.54,3.00,2.46,2.08,1.92,3.23,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,COMP 529 001, Tze Sing Ng,3,2.14,2.71,2.43,1.86,1.57,2.14,2.43,2.43,2.14,2.29,3.29,2.57,2.57,4.14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Fall 04,COMP 571 001, Luay Nakhleh,10,1.80,2.00,1.50,1.50,1.50,1.80,1.90,1.70,1.70,2.20,2.40,1.90,1.90,2.70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,COMP 602 001, Erzsebet Merenyi,0,2.00,2.00,1.00,1.00,1.67,2.00,2.33,1.67,1.33,2.00,2.00,1.67,1.67,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Fall 04,COMP 610 001, Walid Taha,5,3.67,3.00,3.00,3.33,4.33,3.67,3.67,3.33,2.67,3.33,4.00,2.67,3.00,2.67,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,
Fall 04,COMP 617 001, Walid Taha,4,3.00,3.00,2.33,3.50,4.25,3.50,4.00,3.33,2.25,2.75,3.33,3.33,3.50,3.25,3,3,3,4,4,4,4,3,4,4,3,3,4,4,4,4,
Fall 04,ECON 211 001, Justin Leroux,31,1.58,2.04,1.33,1.46,2.25,2.46,2.25,1.71,1.71,2.08,2.54,2.29,2.21,3.29,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,
Fall 04,ECON 211 002, Ronald Soligo,63,2.13,3.40,1.73,2.43,2.43,3.18,3.63,3.45,2.36,2.40,3.00,2.73,3.40,3.23,40,40,40,40,40,40,40,40,39,40,40,40,40,40,40,40,
Fall 04,ECON 211 003, Jill Nesbitt,37,2.36,3.16,2.00,2.04,2.28,2.96,3.24,2.80,2.75,2.32,2.84,2.76,3.00,3.12,25,25,25,25,25,25,25,25,24,25,25,25,24,25,25,25,
Fall 04,ECON 211 004, Bahar Biyikli,22,1.83,2.75,1.75,1.42,1.75,2.83,3.00,2.50,2.42,2.00,2.25,1.83,2.75,3.50,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,ECON 211 005, Gil Eris,23,1.67,2.00,2.00,1.56,1.78,2.56,2.61,2.00,1.61,2.71,3.22,3.11,3.33,3.39,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,
Fall 04,ECON 212 001, Chad Dacus,42,1.81,1.81,2.62,1.88,1.85,2.38,2.27,1.77,1.77,1.77,1.85,2.69,2.08,2.58,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,
Fall 04,ECON 212 002, James Miller,34,1.91,2.74,1.61,1.74,2.04,3.43,3.17,2.57,2.36,2.30,2.22,3.43,2.74,2.39,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,
Fall 04,ECON 212 003, Chad Dacus,6,1.14,1.14,1.00,1.43,1.43,1.43,1.57,1.29,1.43,2.00,2.00,2.71,1.71,2.29,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,
Fall 04,ECON 370 001, Marc Dudey,29,1.95,3.00,1.85,2.85,1.90,2.85,3.10,2.85,2.05,2.05,2.60,2.80,3.15,2.70,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,
Fall 04,ECON 370 002, George Zodrow,39,1.57,2.64,2.04,2.21,2.00,2.50,2.82,2.61,1.68,2.11,3.22,2.64,2.64,2.71,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,27,
Fall 04,ECON 375 001, Juan Cordoba,37,2.84,3.97,2.56,2.97,2.56,3.63,3.75,3.91,3.06,3.16,3.31,3.45,3.88,3.34,32,32,32,32,32,32,32,32,32,32,32,31,32,32,32,30,
Fall 04,ECON 382 001, Javier Rojo,10,1.84,3.80,1.68,2.88,2.80,3.36,3.56,3.44,1.88,2.32,2.44,2.08,3.24,3.72,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,
Fall 04,ECON 415 001, James Brown,4,1.25,1.75,1.50,1.50,1.25,1.50,1.75,1.50,1.25,2.00,1.75,1.50,1.75,3.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,ECON 421 001, Peter Pedroni,11,1.20,1.10,1.60,1.50,1.40,1.30,1.30,1.40,1.20,1.40,1.20,1.40,1.20,3.80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,
Fall 04,ECON 440 001, Zvi Safra,7,1.50,1.83,2.00,1.50,1.83,1.83,1.83,1.83,1.50,2.17,1.83,1.83,1.83,3.00,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,
Fall 04,ECON 448 001, Zvi Safra,64,2.06,2.94,1.71,2.65,2.52,3.23,3.16,2.84,2.23,2.10,2.39,2.74,2.71,2.74,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,
Fall 04,ECON 450 001, Ronald Soligo,50,2.71,3.32,3.00,2.55,2.68,3.16,2.84,3.06,2.45,3.19,3.45,3.29,3.19,2.80,31,31,31,31,31,31,31,31,31,31,31,31,31,30,29,31,
Fall 04,ECON 455 001, John Bryant,29,2.72,3.11,2.22,2.33,2.67,3.22,3.44,3.28,2.61,3.22,3.11,3.61,3.33,2.50,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
Fall 04,ECON 461 001, Peter Mieszkowski,50,2.21,2.86,1.75,2.21,2.14,2.36,2.43,2.50,2.04,2.68,2.81,2.46,2.65,3.11,28,28,28,28,28,28,28,28,28,28,27,28,26,28,26,23,
Fall 04,ECON 477 001, Anna Bogomolnaia,11,1.80,3.22,2.30,2.80,2.90,1.50,3.00,2.90,1.50,2.40,2.78,1.60,2.67,4.20,10,9,10,10,10,10,10,10,10,10,9,10,9,10,10,10,
Fall 04,ECON 482 001, Herve Moulin,7,1.43,1.71,1.29,1.29,1.57,1.86,1.71,1.71,1.29,1.86,2.57,1.71,2.00,3.43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Fall 04,ECON 483 001, George Zodrow,6,1.80,2.60,1.60,1.40,1.60,2.00,2.00,2.00,1.00,2.00,2.40,2.00,1.80,3.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Fall 04,ECON 501 001, Simon Grant,9,1.25,1.88,1.13,1.00,1.25,1.88,1.75,1.63,1.25,1.63,1.13,1.38,1.50,3.25,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,
Fall 04,ECON 502 001, Juan Cordoba,9,3.22,3.44,3.89,2.67,2.56,2.67,3.33,3.33,2.78,3.56,3.78,3.11,3.89,2.89,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,
Fall 04,ECON 504 001, Yoosoon Chang,7,1.14,1.29,1.14,1.14,1.00,1.14,1.43,1.00,1.14,1.00,1.14,1.14,1.00,3.43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Fall 04,ECON 507 001, Anna Bogomolnaia,9,1.38,2.25,1.13,1.75,1.25,1.88,2.25,1.75,1.25,2.00,1.63,1.25,2.00,4.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,ECON 509 001, Herve Moulin,8,1.13,1.13,1.13,1.13,1.13,1.00,1.00,1.00,1.00,1.13,1.50,1.00,1.00,4.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,
Fall 04,ECON 511 001, Robin Sickles,6,2.00,2.67,1.67,1.33,1.67,2.00,2.17,2.50,1.83,2.17,1.83,1.83,2.50,3.20,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,
Fall 04,ECON 514 001, Marc Dudey,4,1.25,1.25,1.50,1.00,1.00,1.00,1.25,1.00,1.25,1.25,2.50,1.67,1.25,3.25,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,1,
Fall 04,ECON 515 001, James Brown,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.67,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,
Fall 04,ECON 579 001, Bryan Brown,5,1.60,2.20,2.00,1.80,2.20,2.00,2.00,2.20,1.60,1.60,1.80,1.80,1.60,3.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,
Fall 04,EDUC 201 001, Judy Radigan,6,1.00,1.00,1.25,1.00,1.00,1.25,1.00,1.00,1.25,1.25,1.00,1.50,1.00,3.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,EDUC 301 001, Eileen Coppola,13,1.29,1.47,1.59,1.35,1.18,1.29,1.35,1.53,1.06,1.65,1.59,1.71,1.59,3.94,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,
Fall 04,EDUC 305 001, Diana Norcross,22,2.95,3.00,3.90,1.15,1.15,1.20,1.15,2.10,1.15,3.05,4.05,2.15,2.10,2.00,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Fall 04,EDUC 330 001, Linda McNeil,11,4.00,4.15,4.69,2.54,2.92,3.08,3.00,4.23,2.69,4.85,3.69,2.92,4.00,4.08,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,EDUC 411 000, Elizabeth Heckelman,8,1.29,1.86,1.29,1.29,1.43,1.86,2.14,2.00,1.71,1.43,1.50,1.86,2.00,3.29,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,
Fall 04,EDUC 411 001, Margaret Crawford,8,1.29,1.86,1.29,1.29,1.43,1.86,2.14,2.00,1.71,1.43,1.50,1.86,2.00,3.29,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,
Fall 04,EDUC 412 001, Elizabeth Heckelman,3,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,1.50,1.50,2.00,2.00,2.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,EDUC 415 001, Elizabeth Heckelman,3,1.00,1.67,1.00,1.33,1.33,1.33,1.67,1.33,1.00,1.67,1.33,2.00,1.33,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Fall 04,EDUC 416 001, Elizabeth Heckelman,7,1.33,2.50,1.33,1.67,2.33,2.33,2.33,2.17,1.83,2.83,2.67,2.50,2.67,2.50,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,EDUC 501 001, Eileen Coppola,5,1.29,1.47,1.59,1.35,1.18,1.29,1.35,1.53,1.06,1.65,1.59,1.71,1.59,3.94,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,
Fall 04,EDUC 505 001, Diana Norcross,2,2.95,3.00,3.90,1.15,1.15,1.20,1.15,2.10,1.15,3.05,4.05,2.15,2.10,2.00,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Fall 04,EDUC 530 001, Linda McNeil,3,4.00,4.15,4.69,2.54,2.92,3.08,3.00,4.23,2.69,4.85,3.69,2.92,4.00,4.08,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,EDUC 540 001, Elizabeth Heckelman,12,1.00,1.27,1.00,1.00,1.00,1.00,1.09,1.09,1.00,1.00,1.27,1.27,1.27,2.64,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Fall 04,ELEC 201 001, James Young,47,1.69,2.29,1.37,1.69,1.66,1.54,2.03,2.00,1.77,2.09,2.63,1.97,1.71,2.94,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
Fall 04,ELEC 226 001, Jeremy Frantz,8,3.57,3.71,4.29,2.71,2.29,1.86,2.71,3.00,2.43,3.71,2.86,2.14,3.14,3.14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Fall 04,ELEC 241 001, Michael Orchard,38,1.93,2.41,2.25,1.24,1.59,1.52,1.72,1.93,1.48,2.21,2.38,1.31,2.07,4.59,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,28,
Fall 04,ELEC 261 001, Daniel Mittleman,15,2.10,3.30,1.70,2.90,2.70,3.00,2.90,3.50,1.90,2.60,3.40,2.60,3.40,3.30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,ELEC 301 001, Richard Baraniuk,36,3.93,3.67,5.50,2.97,3.07,2.63,2.73,3.57,2.67,4.17,3.43,2.33,3.47,4.79,30,30,30,30,30,30,30,30,30,30,30,30,30,29,30,30,
Fall 04,ELEC 305 001, William Wilson,49,1.39,1.68,1.39,1.37,1.76,2.11,2.11,1.50,1.41,1.53,1.89,2.42,1.79,2.95,38,38,38,38,38,38,38,38,37,38,38,38,38,38,38,38,
